TransactionID,CustomerID,ProductID,Price,Qty,TotalAmount,StoreID,StoreName,Product Name
TR60985,404,P5,4200,2,8400,2,Prima Kelapa Dua,Thai Tea
TR71324,225,P3,7500,2,15000,7,Buana Indah,Crackers
TR75701,378,P8,16000,1,16000,11,Sinar Harapan,Oat
TR7896,303,P7,9400,5,47000,6,Lingga,Coffee Candy
TR82047,92,P2,3200,4,12800,5,Bonafid,Ginger Candy 
TR89703,81,P8,16000,2,32000,4,Gita Ginara,Oat
TR20664,130,P6,18000,3,54000,8,Sinar Harapan,Cashew
TR2323,115,P3,7500,4,30000,11,Sinar Harapan,Crackers
TR24906,23,P1,8800,2,17600,9,Lingga,Choco Bar
TR29591,203,P4,12000,4,48000,5,Bonafid,Potato Chip
TR3330,318,P10,15000,1,15000,2,Prima Kelapa Dua,Cheese Stick
TR3414,56,P3,7500,2,15000,13,Buana,Crackers
TR38717,45,P3,7500,3,22500,3,Prima Kota,Crackers
TR53185,404,P4,12000,3,36000,1,Prima Tendean,Potato Chip
TR75889,154,P3,7500,3,22500,12,Prestasi Utama,Crackers
TR76104,6,P7,9400,6,56400,3,Prima Kota,Coffee Candy
TR78475,397,P10,15000,4,60000,6,Lingga,Cheese Stick
TR80853,351,P7,9400,2,18800,11,Sinar Harapan,Coffee Candy
TR87436,151,P1,8800,6,52800,10,Harapan Baru,Choco Bar
TR89069,107,P9,10000,4,40000,7,Buana Indah,Yoghurt
TR97235,413,P5,4200,2,8400,11,Sinar Harapan,Thai Tea
TR19590,258,P6,18000,2,36000,12,Prestasi Utama,Cashew
TR20045,243,P3,7500,1,7500,12,Prestasi Utama,Crackers
TR24538,116,P10,15000,1,15000,3,Prima Kota,Cheese Stick
TR31616,416,P9,10000,5,50000,2,Prima Kelapa Dua,Yoghurt
TR33794,169,P9,10000,6,60000,12,Prestasi Utama,Yoghurt
TR38395,386,P8,16000,1,16000,7,Buana Indah,Oat
TR60760,359,P5,4200,3,12600,3,Prima Kota,Thai Tea
TR63307,443,P7,9400,4,37600,13,Buana,Coffee Candy
TR63588,326,P4,12000,3,36000,6,Lingga,Potato Chip
TR72168,130,P5,4200,3,12600,9,Lingga,Thai Tea
TR82517,297,P5,4200,2,8400,5,Bonafid,Thai Tea
TR88378,44,P7,9400,6,56400,14,Priangan,Coffee Candy
TR92856,79,P7,9400,3,28200,10,Harapan Baru,Coffee Candy
TR14385,66,P6,18000,3,54000,9,Lingga,Cashew
TR1807,197,P3,7500,4,30000,11,Sinar Harapan,Crackers
TR24740,106,P2,3200,3,9600,5,Bonafid,Ginger Candy 
TR26433,209,P7,9400,3,28200,4,Gita Ginara,Coffee Candy
TR28011,367,P9,10000,5,50000,5,Bonafid,Yoghurt
TR31493,131,P1,8800,8,70400,12,Prestasi Utama,Choco Bar
TR32113,171,P3,7500,6,45000,2,Prima Kelapa Dua,Crackers
TR32730,243,P6,18000,1,18000,9,Lingga,Cashew
TR3316,435,P7,9400,5,47000,13,Buana,Coffee Candy
TR34731,281,P3,7500,5,37500,4,Gita Ginara,Crackers
TR47402,19,P9,10000,5,50000,3,Prima Kota,Yoghurt
TR56276,88,P10,15000,2,30000,1,Prima Tendean,Cheese Stick
TR93101,267,P1,8800,3,26400,12,Prestasi Utama,Choco Bar
TR94279,119,P5,4200,4,16800,1,Prima Tendean,Thai Tea
TR99024,289,P6,18000,3,54000,1,Prima Tendean,Cashew
TR22459,362,P10,15000,5,75000,12,Prestasi Utama,Cheese Stick
TR25854,176,P8,16000,2,32000,8,Sinar Harapan,Oat
TR4315,181,P5,4200,5,21000,8,Sinar Harapan,Thai Tea
TR47702,359,P4,12000,5,60000,11,Sinar Harapan,Potato Chip
TR56832,429,P4,12000,5,60000,2,Prima Kelapa Dua,Potato Chip
TR67395,328,P8,16000,3,48000,11,Sinar Harapan,Oat
TR81633,376,P8,16000,2,32000,5,Bonafid,Oat
TR9042,320,P5,4200,3,12600,7,Buana Indah,Thai Tea
TR95963,73,P3,7500,2,15000,3,Prima Kota,Crackers
TR11023,395,P3,7500,5,37500,3,Prima Kota,Crackers
TR16773,14,P6,18000,1,18000,2,Prima Kelapa Dua,Cashew
TR23559,62,P5,4200,5,21000,10,Harapan Baru,Thai Tea
TR40337,168,P3,7500,2,15000,12,Prestasi Utama,Crackers
TR5111,294,P5,4200,5,21000,13,Buana,Thai Tea
TR68999,349,P1,8800,3,26400,13,Buana,Choco Bar
TR72014,295,P5,4200,5,21000,6,Lingga,Thai Tea
TR82501,335,P5,4200,4,16800,13,Buana,Thai Tea
TR8408,26,P10,15000,1,15000,2,Prima Kelapa Dua,Cheese Stick
TR91120,114,P3,7500,6,45000,12,Prestasi Utama,Crackers
TR13528,196,P4,12000,5,60000,10,Harapan Baru,Potato Chip
TR14110,356,P6,18000,2,36000,9,Lingga,Cashew
TR26197,187,P10,15000,4,60000,2,Prima Kelapa Dua,Cheese Stick
TR27545,34,P6,18000,4,72000,7,Buana Indah,Cashew
TR29618,171,P10,15000,4,60000,9,Lingga,Cheese Stick
TR3218,91,P1,8800,10,88000,10,Harapan Baru,Choco Bar
TR34744,76,P2,3200,3,9600,8,Sinar Harapan,Ginger Candy 
TR37162,169,P8,16000,2,32000,5,Bonafid,Oat
TR48869,257,P1,8800,6,52800,5,Bonafid,Choco Bar
TR62843,123,P2,3200,5,16000,3,Prima Kota,Ginger Candy 
TR65973,422,P2,3200,5,16000,11,Sinar Harapan,Ginger Candy 
TR69288,160,P2,3200,3,9600,4,Gita Ginara,Ginger Candy 
TR80016,183,P3,7500,2,15000,10,Harapan Baru,Crackers
TR1186,423,P4,12000,5,60000,13,Buana,Potato Chip
TR14148,418,P5,4200,5,21000,1,Prima Tendean,Thai Tea
TR24554,444,P10,15000,5,75000,14,Priangan,Cheese Stick
TR24979,276,P5,4200,2,8400,1,Prima Tendean,Thai Tea
TR32972,372,P5,4200,2,8400,11,Sinar Harapan,Thai Tea
TR38205,314,P8,16000,3,48000,1,Prima Tendean,Oat
TR496,3,P1,8800,2,17600,8,Sinar Harapan,Choco Bar
TR53992,96,P2,3200,5,16000,4,Gita Ginara,Ginger Candy 
TR5572,344,P2,3200,4,12800,1,Prima Tendean,Ginger Candy 
TR57565,180,P5,4200,4,16800,12,Prestasi Utama,Thai Tea
TR600,97,P4,12000,1,12000,7,Buana Indah,Potato Chip
TR6094,104,P1,8800,4,35200,3,Prima Kota,Choco Bar
TR67707,49,P10,15000,3,45000,13,Buana,Cheese Stick
TR74093,298,P3,7500,3,22500,2,Prima Kelapa Dua,Crackers
TR74832,57,P9,10000,2,20000,4,Gita Ginara,Yoghurt
TR94774,222,P3,7500,6,45000,3,Prima Kota,Crackers
TR99456,403,P5,4200,4,16800,3,Prima Kota,Thai Tea
TR18017,369,P10,15000,3,45000,8,Sinar Harapan,Cheese Stick
TR21020,10,P8,16000,3,48000,4,Gita Ginara,Oat
TR26976,89,P3,7500,2,15000,7,Buana Indah,Crackers
TR291,20,P1,8800,3,26400,10,Harapan Baru,Choco Bar
TR33309,172,P10,15000,1,15000,6,Lingga,Cheese Stick
TR38496,171,P1,8800,7,61600,3,Prima Kota,Choco Bar
TR69292,101,P4,12000,2,24000,4,Gita Ginara,Potato Chip
TR71806,88,P10,15000,3,45000,2,Prima Kelapa Dua,Cheese Stick
TR73761,167,P5,4200,5,21000,1,Prima Tendean,Thai Tea
TR83851,398,P10,15000,1,15000,11,Sinar Harapan,Cheese Stick
TR88485,24,P7,9400,4,37600,10,Harapan Baru,Coffee Candy
TR8926,16,P3,7500,6,45000,5,Bonafid,Crackers
TR95049,72,P7,9400,3,28200,7,Buana Indah,Coffee Candy
TR96226,87,P8,16000,3,48000,9,Lingga,Oat
TR96565,407,P2,3200,3,9600,4,Gita Ginara,Ginger Candy 
TR1152,149,P3,7500,6,45000,9,Lingga,Crackers
TR20460,277,P8,16000,3,48000,14,Priangan,Oat
TR21521,219,P10,15000,3,45000,12,Prestasi Utama,Cheese Stick
TR22096,152,P2,3200,7,22400,12,Prestasi Utama,Ginger Candy 
TR39689,287,P10,15000,1,15000,8,Sinar Harapan,Cheese Stick
TR44341,133,P4,12000,2,24000,14,Priangan,Potato Chip
TR46384,229,P6,18000,1,18000,2,Prima Kelapa Dua,Cashew
TR47250,205,P7,9400,6,56400,4,Gita Ginara,Coffee Candy
TR4769,176,P8,16000,3,48000,4,Gita Ginara,Oat
TR48479,252,P7,9400,2,18800,1,Prima Tendean,Coffee Candy
TR49703,215,P4,12000,2,24000,14,Priangan,Potato Chip
TR53294,127,P8,16000,3,48000,4,Gita Ginara,Oat
TR59261,342,P10,15000,3,45000,6,Lingga,Cheese Stick
TR66991,312,P8,16000,2,32000,4,Gita Ginara,Oat
TR71099,294,P5,4200,3,12600,5,Bonafid,Thai Tea
TR7372,171,P2,3200,6,19200,9,Lingga,Ginger Candy 
TR84119,307,P5,4200,3,12600,14,Priangan,Thai Tea
TR87564,19,P9,10000,3,30000,14,Priangan,Yoghurt
TR87745,245,P5,4200,4,16800,1,Prima Tendean,Thai Tea
TR91130,288,P1,8800,3,26400,13,Buana,Choco Bar
TR11942,44,P4,12000,3,36000,8,Sinar Harapan,Potato Chip
TR14660,40,P3,7500,4,30000,5,Bonafid,Crackers
TR18382,23,P2,3200,3,9600,10,Harapan Baru,Ginger Candy 
TR226,281,P8,16000,2,32000,3,Prima Kota,Oat
TR26050,88,P7,9400,3,28200,10,Harapan Baru,Coffee Candy
TR2737,417,P2,3200,5,16000,10,Harapan Baru,Ginger Candy 
TR33859,367,P5,4200,4,16800,7,Buana Indah,Thai Tea
TR43048,202,P1,8800,2,17600,9,Lingga,Choco Bar
TR52295,361,P4,12000,2,24000,8,Sinar Harapan,Potato Chip
TR55903,214,P5,4200,3,12600,4,Gita Ginara,Thai Tea
TR58807,20,P9,10000,4,40000,11,Sinar Harapan,Yoghurt
TR66811,79,P2,3200,3,9600,13,Buana,Ginger Candy 
TR69931,384,P8,16000,2,32000,12,Prestasi Utama,Oat
TR98511,410,P8,16000,3,48000,2,Prima Kelapa Dua,Oat
TR1232,342,P5,4200,5,21000,11,Sinar Harapan,Thai Tea
TR2820,410,P9,10000,6,60000,6,Lingga,Yoghurt
TR29955,445,P8,16000,2,32000,14,Priangan,Oat
